uri1	AGROVOC LABELS	match	GEMET LABELS	uri2	
http://aims.fao.org/aos/agrovoc/c_1669	climatic zones	http://www.w3.org/2004/02/skos/mapping#exactMatch	climatic zone	http://www.eionet.europa.eu/gemet/concept/1476
http://aims.fao.org/aos/agrovoc/c_1671	Climatology	http://www.w3.org/2004/02/skos/mapping#exactMatch	climatology	http://www.eionet.europa.eu/gemet/concept/1479
http://aims.fao.org/aos/agrovoc/c_1691	Coagulation	http://www.w3.org/2004/02/skos/mapping#exactMatch	coagulation	http://www.eionet.europa.eu/gemet/concept/1499
http://aims.fao.org/aos/agrovoc/c_1693	Coal	http://www.w3.org/2004/02/skos/mapping#exactMatch	coal	http://www.eionet.europa.eu/gemet/concept/1500
http://aims.fao.org/aos/agrovoc/c_1701	Coating	http://www.w3.org/2004/02/skos/mapping#exactMatch	coating	http://www.eionet.europa.eu/gemet/concept/1530
http://aims.fao.org/aos/agrovoc/c_1702	Cobalt	http://www.w3.org/2004/02/skos/mapping#exactMatch	cobalt	http://www.eionet.europa.eu/gemet/concept/1532
http://aims.fao.org/aos/agrovoc/c_1743	Cold	http://www.w3.org/2004/02/skos/mapping#exactMatch	cold	http://www.eionet.europa.eu/gemet/concept/1556
http://aims.fao.org/aos/agrovoc/c_1773	Colour	http://www.w3.org/2004/02/skos/mapping#exactMatch	colour	http://www.eionet.europa.eu/gemet/concept/1571
http://aims.fao.org/aos/agrovoc/c_1791	Compensation	http://www.w3.org/2004/02/skos/mapping#exactMatch	compensation	http://www.eionet.europa.eu/gemet/concept/1633
http://aims.fao.org/aos/agrovoc/c_1794	Chemical composition	http://www.w3.org/2004/02/skos/mapping#exactMatch	chemical composition	http://www.eionet.europa.eu/gemet/concept/1299
http://aims.fao.org/aos/agrovoc/c_1798	expropriation	http://www.w3.org/2004/02/skos/mapping#exactMatch	expropriation	http://www.eionet.europa.eu/gemet/concept/3071
http://aims.fao.org/aos/agrovoc/c_1802	Economic concentration	http://www.w3.org/2004/02/skos/mapping#exactMatch	economic concentration	http://www.eionet.europa.eu/gemet/concept/13258
http://aims.fao.org/aos/agrovoc/c_1804	Concrete	http://www.w3.org/2004/02/skos/mapping#exactMatch	concrete	http://www.eionet.europa.eu/gemet/concept/1677
http://aims.fao.org/aos/agrovoc/c_1813	Coniferous forests	http://www.w3.org/2004/02/skos/mapping#exactMatch	coniferous forest	http://www.eionet.europa.eu/gemet/concept/1694
http://aims.fao.org/aos/agrovoc/c_1821	Consumer behaviour	http://www.w3.org/2004/02/skos/mapping#exactMatch	consumer behaviour	http://www.eionet.europa.eu/gemet/concept/1736
http://aims.fao.org/aos/agrovoc/c_1826	consumer protection	http://www.w3.org/2004/02/skos/mapping#exactMatch	consumer protection	http://www.eionet.europa.eu/gemet/concept/1740
http://aims.fao.org/aos/agrovoc/c_1827	Consumption	http://www.w3.org/2004/02/skos/mapping#exactMatch	consumption	http://www.eionet.europa.eu/gemet/concept/1743
http://aims.fao.org/aos/agrovoc/c_1833	Continental climate	http://www.w3.org/2004/02/skos/mapping#exactMatch	continental climate	http://www.eionet.europa.eu/gemet/concept/12060
http://aims.fao.org/aos/agrovoc/c_1834	Continuing education	http://www.w3.org/2004/02/skos/mapping#exactMatch	continuing education	http://www.eionet.europa.eu/gemet/concept/10778
